  0.1061,  0.1343,  0.3510,  0.3028,  0.2957,  0.2881,  0.3816,  0.3309,  0.5758,  0.9043
  0.1003,  0.1299,  0.3373,  0.2851,  0.2793,  0.2708,  0.3545,  0.2999,  0.5384,  0.8668
  0.0976,  0.1286,  0.3261,  0.2711,  0.2668,  0.2575,  0.3326,  0.2745,  0.5028,  0.8292
  0.0980,  0.1304,  0.3174,  0.2608,  0.2582,  0.2479,  0.3159,  0.2547,  0.4691,  0.7917
  0.1013,  0.1351,  0.3111,  0.2539,  0.2534,  0.2421,  0.3042,  0.2404,  0.4373,  0.7545
  0.1074,  0.1426,  0.3071,  0.2505,  0.2521,  0.2398,  0.2974,  0.2313,  0.4076,  0.7177
  0.1161,  0.1526,  0.3055,  0.2504,  0.2544,  0.2410,  0.2953,  0.2274,  0.3801,  0.6817
  0.1273,  0.1651,  0.3060,  0.2534,  0.2599,  0.2454,  0.2976,  0.2284,  0.3548,  0.6465
  0.1384,  0.1772,  0.3065,  0.2568,  0.2660,  0.2504,  0.3011,  0.2308,  0.3306,  0.6116
  0.1481,  0.1877,  0.3060,  0.2591,  0.2716,  0.2546,  0.3039,  0.2329,  0.3071,  0.5771
  0.1566,  0.1966,  0.3044,  0.2604,  0.2766,  0.2581,  0.3063,  0.2348,  0.2843,  0.5431
  0.1637,  0.2039,  0.3020,  0.2608,  0.2809,  0.2608,  0.3081,  0.2364,  0.2624,  0.5096
  0.1695,  0.2097,  0.2986,  0.2602,  0.2847,  0.2628,  0.3094,  0.2378,  0.2414,  0.4768
  0.1740,  0.2140,  0.2943,  0.2588,  0.2879,  0.2642,  0.3101,  0.2389,  0.2214,  0.4449
  0.1773,  0.2168,  0.2893,  0.2565,  0.2906,  0.2648,  0.3105,  0.2398,  0.2024,  0.4140
  0.1794,  0.2182,  0.2835,  0.2535,  0.2926,  0.2648,  0.3103,  0.2405,  0.1845,  0.3841
  0.1803,  0.2181,  0.2769,  0.2496,  0.2941,  0.2642,  0.3097,  0.2410,  0.1677,  0.3553
  0.1800,  0.2167,  0.2698,  0.2451,  0.2951,  0.2630,  0.3086,  0.2412,  0.1520,  0.3278
  0.1786,  0.2140,  0.2620,  0.2398,  0.2955,  0.2612,  0.3071,  0.2412,  0.1375,  0.3015
  0.1762,  0.2101,  0.2537,  0.2340,  0.2954,  0.2588,  0.3053,  0.2410,  0.1242,  0.2766
  0.1727,  0.2049,  0.2448,  0.2275,  0.2948,  0.2559,  0.3030,  0.2406,  0.1120,  0.2530
  0.1683,  0.1987,  0.2355,  0.2205,  0.2937,  0.2525,  0.3004,  0.2401,  0.1011,  0.2309
  0.1629,  0.1914,  0.2258,  0.2130,  0.2922,  0.2487,  0.2975,  0.2393,  0.0913,  0.2103
  0.1567,  0.1830,  0.2158,  0.2050,  0.2902,  0.2444,  0.2942,  0.2384,  0.0828,  0.1912
  0.1496,  0.1738,  0.2054,  0.1966,  0.2879,  0.2397,  0.2907,  0.2373,  0.0754,  0.1735
  0.1418,  0.1636,  0.1948,  0.1879,  0.2851,  0.2346,  0.2869,  0.2360,  0.0692,  0.1574
  0.1332,  0.1526,  0.1839,  0.1788,  0.2819,  0.2291,  0.2828,  0.2346,  0.0641,  0.1428
  0.1240,  0.1408,  0.1729,  0.1693,  0.2784,  0.2233,  0.2785,  0.2331,  0.0602,  0.1298
  0.1141,  0.1284,  0.1617,  0.1597,  0.2746,  0.2172,  0.2740,  0.2314,  0.0574,  0.1182
  0.1036,  0.1153,  0.1504,  0.1498,  0.2704,  0.2109,  0.2694,  0.2296,  0.0557,  0.1082
  0.0926,  0.1016,  0.1390,  0.1397,  0.2660,  0.2043,  0.2645,  0.2277,  0.0550,  0.0997
  0.0812,  0.0873,  0.1276,  0.1295,  0.2613,  0.1975,  0.2595,  0.2257,  0.0554,  0.0926
  0.0693,  0.0727,  0.1163,  0.1192,  0.2564,  0.1905,  0.2544,  0.2236,  0.0567,  0.0870
  0.0570,  0.0576,  0.1049,  0.1088,  0.2512,  0.1834,  0.2491,  0.2214,  0.0591,  0.0828
  0.0450,  0.0428,  0.0939,  0.0988,  0.2460,  0.1764,  0.2439,  0.2191,  0.0615,  0.0790
  0.0335,  0.0285,  0.0832,  0.0893,  0.2408,  0.1696,  0.2388,  0.2168,  0.0638,  0.0753
  0.0226,  0.0149,  0.0730,  0.0805,  0.2357,  0.1632,  0.2337,  0.2145,  0.0660,  0.0715
  0.0122,  0.0018,  0.0632,  0.0722,  0.2306,  0.1571,  0.2288,  0.2121,  0.0680,  0.0677
  0.0023, -0.0107,  0.0539,  0.0646,  0.2256,  0.1513,  0.2240,  0.2097,  0.0698,  0.0640
 -0.0070, -0.0225,  0.0450,  0.0575,  0.2206,  0.1458,  0.2193,  0.2073,  0.0715,  0.0604
 -0.0157, -0.0337,  0.0366,  0.0510,  0.2158,  0.1406,  0.2148,  0.2049,  0.0730,  0.0568
 -0.0239, -0.0442,  0.0286,  0.0452,  0.2110,  0.1357,  0.2104,  0.2025,  0.0744,  0.0532
 -0.0314, -0.0541,  0.0212,  0.0399,  0.2064,  0.1311,  0.2061,  0.2000,  0.0756,  0.0497
 -0.0384, -0.0633,  0.0142,  0.0353,  0.2018,  0.1269,  0.2020,  0.1976,  0.0767,  0.0463
 -0.0448, -0.0718,  0.0077,  0.0312,  0.1974,  0.1230,  0.1981,  0.1952,  0.0775,  0.0430
 -0.0506, -0.0797,  0.0017,  0.0277,  0.1931,  0.1195,  0.1943,  0.1928,  0.0783,  0.0398
 -0.0558, -0.0869, -0.0038,  0.0248,  0.1890,  0.1162,  0.1907,  0.1904,  0.0789,  0.0366
 -0.0604, -0.0934, -0.0088,  0.0225,  0.1850,  0.1133,  0.1873,  0.1880,  0.0793,  0.0336
 -0.0645, -0.0992, -0.0133,  0.0207,  0.1811,  0.1108,  0.1840,  0.1857,  0.0796,  0.0306
 -0.0679, -0.1044, -0.0173,  0.0195,  0.1774,  0.1085,  0.1809,  0.1834,  0.0798,  0.0278
 -0.0708, -0.1089, -0.0209,  0.0188,  0.1739,  0.1066,  0.1780,  0.1812,  0.0798,  0.0250
 -0.0732, -0.1128, -0.0239,  0.0187,  0.1705,  0.1050,  0.1753,  0.1790,  0.0796,  0.0224
 -0.0750, -0.1160, -0.0265,  0.0190,  0.1672,  0.1037,  0.1728,  0.1768,  0.0794,  0.0198
 -0.0763, -0.1186, -0.0286,  0.0199,  0.1642,  0.1027,  0.1705,  0.1747,  0.0790,  0.0174
 -0.0770, -0.1205, -0.0303,  0.0213,  0.1613,  0.1020,  0.1683,  0.1726,  0.0785,  0.0151
 -0.0773, -0.1219, -0.0315,  0.0231,  0.1585,  0.1016,  0.1663,  0.1706,  0.0779,  0.0130
 -0.0770, -0.1226, -0.0322,  0.0254,  0.1560,  0.1014,  0.1646,  0.1687,  0.0771,  0.0109
 -0.0762, -0.1228, -0.0325,  0.0281,  0.1536,  0.1016,  0.1630,  0.1668,  0.0762,  0.0090
 -0.0750, -0.1224, -0.0324,  0.0312,  0.1513,  0.1020,  0.1615,  0.1650,  0.0753,  0.0072
 -0.0732, -0.1214, -0.0319,  0.0348,  0.1493,  0.1028,  0.1603,  0.1632,  0.0742,  0.0055
 -0.0711, -0.1198, -0.0309,  0.0388,  0.1474,  0.1037,  0.1592,  0.1615,  0.0730,  0.0039
 -0.0685, -0.1178, -0.0296,  0.0431,  0.1457,  0.1050,  0.1583,  0.1599,  0.0718,  0.0025
 -0.0655, -0.1152, -0.0279,  0.0478,  0.1441,  0.1064,  0.1576,  0.1583,  0.0704,  0.0012
 -0.0620, -0.1121, -0.0258,  0.0529,  0.1428,  0.1081,  0.1571,  0.1568,  0.0690, -0.0000
 -0.0582, -0.1086, -0.0234,  0.0583,  0.1415,  0.1101,  0.1567,  0.1554,  0.0674, -0.0011
 -0.0540, -0.1045, -0.0206,  0.0640,  0.1405,  0.1122,  0.1565,  0.1540,  0.0658, -0.0021
 -0.0494, -0.1001, -0.0174,  0.0700,  0.1396,  0.1146,  0.1565,  0.1528,  0.0641, -0.0029
 -0.0445, -0.0951, -0.0140,  0.0763,  0.1389,  0.1172,  0.1566,  0.1515,  0.0624, -0.0036
 -0.0393, -0.0899, -0.0103,  0.0827,  0.1383,  0.1199,  0.1568,  0.1504,  0.0606, -0.0043
 -0.0342, -0.0846, -0.0066,  0.0891,  0.1377,  0.1225,  0.1569,  0.1492,  0.0588, -0.0048
 -0.0291, -0.0794, -0.0030,  0.0951,  0.1369,  0.1249,  0.1570,  0.1479,  0.0570, -0.0054
 -0.0242, -0.0744,  0.0005,  0.1009,  0.1361,  0.1272,  0.1568,  0.1465,  0.0552, -0.0060
 -0.0195, -0.0694,  0.0038,  0.1065,  0.1352,  0.1293,  0.1566,  0.1451,  0.0534, -0.0065
 -0.0148, -0.0645,  0.0071,  0.1118,  0.1342,  0.1312,  0.1563,  0.1435,  0.0516, -0.0070
 -0.0103, -0.0597,  0.0102,  0.1169,  0.1331,  0.1330,  0.1558,  0.1420,  0.0499, -0.0075
 -0.0060, -0.0550,  0.0133,  0.1217,  0.1320,  0.1346,  0.1553,  0.1403,  0.0481, -0.0079
 -0.0017, -0.0505,  0.0162,  0.1262,  0.1308,  0.1361,  0.1546,  0.1386,  0.0464, -0.0084
  0.0023, -0.0460,  0.0190,  0.1305,  0.1295,  0.1373,  0.1538,  0.1369,  0.0447, -0.0088
  0.0063, -0.0417,  0.0217,  0.1345,  0.1282,  0.1385,  0.1529,  0.1351,  0.0430, -0.0092
  0.0100, -0.0375,  0.0243,  0.1382,  0.1268,  0.1394,  0.1520,  0.1332,  0.0414, -0.0095
  0.0136, -0.0334,  0.0268,  0.1417,  0.1254,  0.1402,  0.1509,  0.1313,  0.0398, -0.0099
  0.0171, -0.0295,  0.0291,  0.1449,  0.1239,  0.1409,  0.1497,  0.1294,  0.0382, -0.0102
  0.0204, -0.0257,  0.0313,  0.1479,  0.1223,  0.1414,  0.1485,  0.1274,  0.0366, -0.0105
  0.0236, -0.0220,  0.0334,  0.1506,  0.1208,  0.1417,  0.1472,  0.1254,  0.0351, -0.0108
  0.0266, -0.0185,  0.0354,  0.1530,  0.1191,  0.1419,  0.1458,  0.1233,  0.0336, -0.0111
  0.0294, -0.0151,  0.0372,  0.1552,  0.1174,  0.1420,  0.1443,  0.1213,  0.0321, -0.0113
  0.0321, -0.0119,  0.0390,  0.1571,  0.1157,  0.1419,  0.1427,  0.1192,  0.0307, -0.0115
  0.0346, -0.0087,  0.0406,  0.1588,  0.1140,  0.1416,  0.1411,  0.1170,  0.0293, -0.0117
  0.0370, -0.0058,  0.0420,  0.1602,  0.1122,  0.1413,  0.1394,  0.1149,  0.0280, -0.0119
  0.0391, -0.0030,  0.0434,  0.1614,  0.1104,  0.1408,  0.1376,  0.1128,  0.0266, -0.0120
