0,1,2,3,4,5,6,7,8,9
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0238,  0.1597,  0.1537,  0.0289,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0186,  0.1533,  0.1576,  0.0337,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0140,  0.1467,  0.1610,  0.0386,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0101,  0.1399,  0.1639,  0.0437,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0069,  0.1330,  0.1663,  0.0489,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0043,  0.1260,  0.1683,  0.0542,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0023,  0.1189,  0.1698,  0.0594,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0009,  0.1118,  0.1708,  0.0647,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0002,  0.1048,  0.1713,  0.0700,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0978,  0.1715,  0.0753,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0909,  0.1712,  0.0804,  0.0003
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0841,  0.1705,  0.0855,  0.0009
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0775,  0.1694,  0.0904,  0.0018
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0711,  0.1680,  0.0952,  0.0030
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0648,  0.1662,  0.0999,  0.0046
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0588,  0.1641,  0.1044,  0.0064
