channel,kA,kca3,kfasttab,kslowtab,lcafixed,kA,kca3,kfasttab,kslowtab,lcafixed,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast
scale,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
lambda,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000
19,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000
20,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000
21,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000
22,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000
23,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000
24,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000
25,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000
26,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000
27,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000
